Temp01,Hum01,Mean_Phosphorous,Mean_Nitrogen,Mean_Potassium,Mean_Moisture
28.5,93.78089887640449,155.0,135.0,97.0,1.0
28.5,93.7752808988764,155.0,135.0,97.0,1.0
28.5,93.76966292134831,155.0,135.0,97.0,1.0
28.5,93.76404494382022,155.0,135.0,97.0,1.0
28.5,93.75842696629213,155.0,135.0,97.0,1.0
28.5,93.75280898876404,155.0,135.0,97.0,1.0
28.5,93.74719101123596,155.0,135.0,97.0,1.0
28.5,93.74157303370787,155.0,135.0,97.0,1.0
28.5,93.73595505617978,155.0,135.0,97.0,1.0
28.5,93.73033707865169,155.0,135.0,97.0,1.0
28.5,93.7247191011236,155.0,135.0,97.0,1.0
28.5,93.71910112359551,155.0,135.0,97.0,1.0
28.5,93.71348314606742,155.0,135.0,97.0,1.0
28.5,93.70786516853933,155.0,135.0,97.0,1.0
28.5,93.70224719101124,155.0,135.0,97.0,1.0
28.5,93.69662921348315,155.0,135.0,97.0,1.0
28.5,93.69101123595506,155.0,135.0,97.0,1.0
28.5,93.68539325842697,155.0,135.0,97.0,1.0
28.5,93.67977528089888,155.0,135.0,97.0,1.0
28.5,93.67415730337079,155.0,135.0,97.0,1.0
28.5,93.6685393258427,155.0,135.0,97.0,1.0
28.5,93.66292134831461,155.0,135.0,97.0,1.0
28.5,93.65730337078652,155.0,135.0,97.0,1.0
28.5,93.65168539325843,155.0,135.0,97.0,1.0
28.5,93.64606741573034,155.0,135.0,97.0,1.0
