Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
16 December 2023,"20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry), 100g of cardboard","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry), 20g of cardboard","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",6.8
17 December 2023,,,40g of distilled water,,,
18 December 2023,,,,,,
19 December 2023,,,,,20g of cardboard,
20 December 2023,,,,,,
21 December 2023,"20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",7.2
22 December 2023,,,,,,
23 December 2023,,,,,,
24 December 2023,"20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",7.3
25 December 2023,,20g of cardboard,,,,
26 December 2023,40g of distilled water,,,40g of distilled water,40g of distilled water,
27 December 2023,,,40g of distilled water,,,
28 December 2023,,,,20g of cardboard,,
29 December 2023,"20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry), 20g of cardboard","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",6.9
30 December 2023,,,,,100g of cardboard,
31 December 2023,"20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry), 100g of cardboard","20g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)","45g of distilled water
1 spoon of chye sim (dried), 50g of coffee grinds (Dry)",6.8
